Statistic,Quarter,Item,value
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2955
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),889
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),542
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),74
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),102
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Expenditure - ESA2010 Code (TE),17803
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),17559
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4783
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),1923
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),853
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1888
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),398
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),6541
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),861
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),311
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,Net operating balance - ESA2010 Code  (NOB),-2526
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),244
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government Surplus/Deficit - ESA2010 Code (B9),-2770
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,Net acquisition of financial assets,-2738
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-651
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-1193
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-894
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,Net incurrence of liabilities,334
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),220
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),115
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,Memo: Net derivative flows on debt interest swap contracts,-69
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),16188
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18333
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-2145
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Revenue - ESA2010 Code (TR),16420
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),13528
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),10705
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2823
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1025
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),1727
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),74
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),67
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Expenditure - ESA2010 Code (TE),17835
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),17574
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4811
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2297
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),853
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1921
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),415
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),6584
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),454
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),240
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,Net operating balance - ESA2010 Code  (NOB),-1154
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),261
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government Surplus/Deficit - ESA2010 Code (B9),-1415
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,Net acquisition of financial assets,-7127
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-8003
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),567
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),308
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,Net incurrence of liabilities,-5726
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-5766
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),41
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,Memo: Net derivative flows on debt interest swap contracts,-68
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),16501
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18415
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q2,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-1914
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Revenue - ESA2010 Code (TR),16003
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),14341
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),11542
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),2798
"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2014Q3,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1031
